seqID;strain_name;accession;sampling_date;lab_submission_date;admin0;admin1;admin2;administrative_unit;village;geographical_precision_1;geographical_precision_2;longitude;latitude;host_species;VAR_assemblyQ;VAR_type;assembly_comment;outbreak;O174L_mutation;other_comment
MH681419;POL/2015/Podlaskie;MH681419;01/02/2015;;Poland;Podlaskie;;;;5;latlong.net;22.768431;53.345161;wild boar;;;;K;no;
MG939583;Pol16_20186_o7;MG939583;09/08/2016;;Poland;Podlaskie;Białystok;;Izbiszcze Chorosz;2;latlong.net;22.87416;53.08709;domestic pig;;;;M;no;
MG939584;Pol16_20538_o9;MG939584;10/08/2016;;Poland;Podlaskie;Wysokie Mazowieckie;;Miodusy Stok;2;latlong.net;22.35442;52.91663;domestic pig;;;;M;no;
MG939585;Pol16_20540_o10;MG939585;10/08/2016;;Poland;Podlaskie;Wysokie Mazowieckie;;Truskolasy Niwisko;2;latlong.net;22.68869;53.02729;domestic pig;;;;M;no;
MG939586;Pol16_29413_o23;MG939586;29/09/2016;;Poland;Podlaskie;Siemiatycze;;Siemichocze;2;latlong.net;23.18587;52.42901;domestic pig;;;;L;no;
MG939587;Pol17_03029_C201;MG939587;30/01/2017;;Poland;Mazowieckie;Łosice;;Nowe Litewniki;2;latlong.net;22.95758;52.26391;wild boar;;;;L;yes;
MG939588;Pol17_04461_C210;MG939588;11/02/2017;;Poland;Mazowieckie;Łosice;;Kolonia Litewniki;2;latlong.net;22.89569;52.26888;wild boar;;;;L;yes;
MG939589;Pol17_05838_C220;MG939589;25/02/2017;;Poland;Podlaskie;Siemiatycze;;Niemirów;2;latlong.net;23.16291;52.28553;wild boar;;;;L;yes;
MT847620;Pol17_55892_C754;MT847620;2017;;Poland;Mazowieckie;Piaseczno;;;3;latlong.net;21.0256;52.07392;wild boar;;;;N;yes;
MT847622;Pol17_31177_O81;MT847622;2017;;Poland;Lubelskie;Radzyń Podlaski;;;3;latlong.net;22.62047;51.782589;domestic pig;;;;L;yes;
MT847621;Pol18_28298_O111;MT847621;2018;;Poland;Lubelskie;Chełm;;;3;latlong.net;23.473761;51.132648;domestic pig;;;;O;no;
MT847623;Pol19_53050_C1959/19;MT847623;06/11/2019;;Poland;Lubuskie;;;;5;GoogleMaps;15.271809;52.168899;wild boar;;;;E;yes;
LR536725;Belgium/2018/1;LR536725;01/09/2018;;Belgium;Luxembourg;;;;5;OIE;5.61;49.6833;wild boar;;;;B;no;
MK543947;Belgium/Etalle/wb/2018;MK543947;10/09/2018;;Belgium;Luxembourg;Buzenol;;;1;Manuscript;5.61;49.6833;wild boar;;;;B;no;
LR722600;CzechRepublic 2017/1;LR722600;2017;;Czechia;Zlín;;;;5;Estimate;17.68;49.23;wild boar;;;;P;no;Original collection date: June/July 2017
FR682468;Georgia 2007/1;FR682468;2007;;Georgia;West Georgia;;;;5;GoogleMaps;42.7465763;42.10594281;domestic pig;;;;A;no;
LR899193;Germany 2020/1;LR899193;07/09/2020;;Germany;Brandenburg;Spree-Neiße;;;1;OIE;14.63;52.02;domestic pig;;;;E;yes;
MN715134;HU_2018;MN715134;24/04/2018;;Hungary;;;;;6;GoogleMaps;20.92385334;48.07287348;wild boar;;;;Q;no;
LR722599;Moldova 2017/1;LR722599;2017;;Moldova;;;;;6;GoogleMaps;28.49730868;47.26392592;domestic pig;;;;R;no;
MT459800;Karbardino-Balkaria/WB-964;MT459800;26/03/2019;;Russia;Karbardino-Balkaria;;;;4;GoogleMaps;43.41923842;43.45264722;wild boar;;;;F;no;
MW306190;Armur 19/WB-6905;MW306190;29/08/2019;;Russia;Armur;;;;5;GoogleMaps;128.126209;52.43331882;wild boar;;;;G;no;
MW306191;Primorsky 19/WB-6723;MW306191;28/08/2019;;Russia;Primorsky;;;;5;GoogleMaps;133.2103931;45.09070676;wild boar;;;;H;no;
MW306192;Ulyanovsk 19/WB-5699;MW306192;21/08/2019;;Russia;Ulyanovsk;;;;5;GoogleMaps;47.77609969;53.94872467;wild boar;;;;I;no;
OM799941;Kaliningrad_17/WB-13869;OM799941;07/11/2017;;Russia;Kaliningrad;Bagrationovsky;Krasnoarmeisko;;2;Manuscript;20.50;54.48;wild boar;;;;S;no;
OM966718;Kaliningrad_18/WB-9766;OM966718;08/07/2018;;Russia;Kaliningrad;Polessky;Ovrazhye;;2;Manuscript;20.94;54.86;wild boar;;;;S;no;
OM966714;Kaliningrad_18/WB-12523;OM966714;07/08/2018;;Russia;Kaliningrad;Slavsky;Zapovednoe;;2;Manuscript;21.37;55.01;wild boar;;;;S;no;
OM966716;Kaliningrad_18/WB-9735;OM966716;03/07/2018;;Russia;Kaliningrad;Pravdinsky;;;2;Manuscript;21.32;54.34;wild boar;;;;S;no;
OM966721;Kaliningrad_18/WB-9734;OM966721;25/06/2018;;Russia;Kaliningrad;Chernyakhovsk;Kamensk;;2;Manuscript;21.67;54.66;wild boar;;;;S;no;
OM966717;Kaliningrad_18/WB-9763;OM966717;07/07/2018;;Russia;Kaliningrad;Guards;Osinovka;;2;Manuscript;20.91;54.72;wild boar;;;;S;no;
OM966715;Kaliningrad_18/WB-12524;OM966715;30/07/2018;;Russia;Kaliningrad;Pravdinsky;Shirokoye;;2;Manuscript;20.91;54.36;wild boar;;;;S;no;
OM966720;Kaliningrad_18/WB-12516;OM966720;07/08/2018;;Russia;Kaliningrad;Chernyakhovsk;Shuvalovo;;2;Manuscript;21.87;54.58;wild boar;;;;S;no;
OM966719;Kaliningrad_19/WB-10168;OM966719;13/05/2019;;Russia;Kaliningrad;Slavsky;Zapovedni;;2;Manuscript;21.37;55.01;wild boar;;;;S;no;
MK628478;LT14/1490;MK628478;21/01/2014;;Lithuania;XXXX;;;;5;;XXXX;XXXX;wild boar;;;;J;no;
LTU_2019_0332G2S1;Lith_1;;07/01/2019;;Lithuania;XXXX;;;;1;;XXXX;XXXX;wild boar;;;;X;no;
LTU_2019_07885G2S1;Lith_13;;17/06/2019;;Lithuania;XXXX;;;;1;;XXXX;XXXX;domestic pig;;;;U;no;
LTU_2019_08805G2S1;Lith_16;;08/07/2019;;Lithuania;XXXX;;;;1;;XXXX;XXXX;wild boar;;;;W;no;
LTU_2019_09074GSV1;Lith_17;;12/07/2019;;Lithuania;XXXX;;;;1;;XXXX;XXXX;domestic pig;;;;S;no;
LTU_2019_09074GSV11;Lith_18;;12/07/2019;;Lithuania;XXXX;;;;1;;XXXX;XXXX;domestic pig;;;;S;no;
LTU_2019_09335GS2;Lith_20;;19/07/2019;;Lithuania;XXXX;;;;1;;XXXX;XXXX;domestic pig;;;;S;no;
LTU_2019_09790P1G1;Lith_23;;05/08/2019;;Lithuania;XXXX;;;;1;;XXXX;XXXX;domestic pig;;;;S;no;
